temperature_en_chiffre,humidity_en_chiffre,temperature_en_chiffre_2days_left,humidity_en_chiffre_2days_left,Wingspan_ft_without_winglets_sharklets,Wingspan_ft_with_winglets_sharklets,Length_ft,Tail_Height_at_OEW_ft,Wheelbase_ft,Cockpit_to_Main_Gear_ft,Main_Gear_Width_ft,STD,Type,Fluid,Water,OAT,OneStep Fluid,TwoStep I Fluid,TwoStep II Fluid,deicing_time_minutes,meteo_numerical,CARRIER_AEG,CARRIER_AHO,CARRIER_AP,CARRIER_ATL,CARRIER_BV,CARRIER_CAR,CARRIER_CCC,CARRIER_DC,CARRIER_EJM,CARRIER_EN,CARRIER_ENT,CARRIER_EUR,CARRIER_EW,CARRIER_EXC,CARRIER_FR,CARRIER_FRD,CARRIER_GA,CARRIER_GAC,CARRIER_GTI,CARRIER_IFM,CARRIER_IG,CARRIER_JDI,CARRIER_KLC,CARRIER_LH,CARRIER_LO,CARRIER_LP,CARRIER_LPR,CARRIER_LS,CARRIER_LX,CARRIER_NJE,CARRIER_OY,CARRIER_PL,CARRIER_ROY,CARRIER_SCH,CARRIER_SK,CARRIER_SRN,CARRIER_STR,CARRIER_SWT,CARRIER_TOY,CARRIER_UPS,CARRIER_USA,CARRIER_VJT,CARRIER_W6,CARRIER_WIL,CARRIER_WR,Month,Year
-0.2,94,6.5,45,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1579244400.0,1,167,166,-1.0,5,0,0,9.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
2.0,84,3.2,67,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1579312800.0,1,95,96,2.0,5,0,0,8.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
0.8,94,-0.2,94,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1579422300.0,1,108,108,1.0,5,0,0,27.0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
1.0,82,3.7,91,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1579545000.0,1,103,104,-1.0,5,0,0,20.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-2.4,88,1.4,91,81.5,0.0,118.8,24.1,56.8,56.8,16.4,1579586100.0,1,156,52,-4.0,7,0,0,8.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-2.7,89,1.1,92,111.9,117.5,123.3,39.6,41.5,50.2,29.4,1579587000.0,1,206,70,-5.0,7,0,0,8.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020
-2.7,89,1.1,92,111.9,117.5,123.3,39.6,41.5,50.2,29.4,1579587900.0,1,193,65,-4.0,7,0,0,10.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020
-2.7,89,1.1,92,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1579589100.0,1,258,88,-4.0,7,0,0,8.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-2.7,89,1.1,92,81.5,0.0,118.8,24.1,56.8,56.8,16.4,1579589700.0,1,134,45,-4.0,7,0,0,7.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-3.0,89,1.0,93,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1579590000.0,1,275,94,-4.0,7,0,0,8.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-0.5,60,1.9,94,81.5,0.0,118.8,24.1,56.8,56.8,16.4,1579672500.0,1,157,53,-3.0,7,0,0,7.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
0.4,56,1.2,95,111.9,117.5,123.3,39.6,41.5,50.2,29.4,1579673400.0,1,138,150,-3.0,5,0,0,7.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020
0.4,56,1.2,95,81.5,0.0,118.8,24.1,56.8,56.8,16.4,1579676100.0,1,126,139,-1.0,5,0,0,9.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
0.7,57,0.6,95,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1579678200.0,1,392,135,-3.0,7,0,0,8.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
1.9,93,0.9,83,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1579725900.0,1,131,130,2.0,5,0,0,11.0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-1.0,88,-0.4,72,68.9,0.0,68.6,20.0,24.8,24.8,12.8,1579813200.0,1,56,56,-2.0,5,0,0,8.0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-2.3,89,-0.1,63,74.6,0.0,64.7,22.9,23.4,22.9,23.8,1579836600.0,1,208,70,-6.0,7,0,0,11.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-3.1,87,1.1,92,112.6,117.4,129.5,41.4,51.2,56.4,23.0,1579930500.0,1,207,69,-6.0,7,0,0,11.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-3.1,87,1.1,92,81.5,0.0,118.8,24.1,56.8,56.8,16.4,1579931400.0,1,192,64,-6.0,7,0,0,7.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2020
-3.2,88,0.9,92,111.9,117.5,123.3,39.6,41.5,50.2,29.4,1579933500.0,1,250,84,-5.0,7,0,0,11.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2020
